cluster,Ed,E
1,75.43,73.2
1,75.43,69.2
1,75.43,69
1,75.43,69
2,73.66,73.5
2,73.66,72.5
2,73.66,65.5
2,73.66,65.5
3,72.06,71
3,72.06,68
4,72.06,70.5
4,72.06,68.5
4,72.06,67
4,72.06,64.5
4,72.06,63
5,69.09,72
5,69.09,69
5,69.09,68
5,69.09,66.5
5,69.09,62.5
5,69.09,62.5
6,73.72,69.5
7,73.72,76.5
7,73.72,74
7,73.72,73
7,73.72,73
7,73.72,70.5
7,73.72,64
8,72.91,70.5
8,72.91,68
8,72.91,66
9,72.89,66
10,72.37,65.5
11,70.48,74
11,70.48,70
11,70.48,68
11,70.48,67
11,70.48,67
11,70.48,66
11,70.48,63.5
11,70.48,63
12,69.94,65
13,72.68,71
13,72.68,62
14,72.68,68
14,72.68,67
15,72.41,71
15,72.41,70.5
15,72.41,66.7
16,71.6,72
16,71.6,70.5
16,71.6,70.2
16,71.6,70.2
16,71.6,69.2
16,71.6,68.7
16,71.6,66.5
16,71.6,64.5
16,71.6,63.5
17,71.33,74
17,71.33,73
17,71.33,71.5
17,71.33,62.5
17,71.33,66.5
17,71.33,62.3
18,71.06,66
18,71.06,64.5
18,71.06,64
19,70.62,62.7
20,73.61,73.2
20,73.61,73
20,73.61,72.7
20,73.61,70
20,73.61,69
20,73.61,68.5
20,73.61,68
20,73.61,66
21,72.72,73
21,72.72,68.5
21,72.72,68
22,72.18,73
22,72.18,71
22,72.18,67
23,71.1,74.2
23,71.1,70.5
23,71.1,69.5
23,71.1,66
23,71.1,65.5
23,71.1,65
23,71.1,65
24,71.37,65.5
25,70.56,66
25,70.56,63
26,70.02,70.5
26,70.02,70.5
26,70.02,69
26,70.02,65
26,70.02,63
27,70.02,69
27,70.02,67
27,70.02,63
28,70.02,73
28,70.02,67
28,70.02,70.5
28,70.02,70
28,70.02,66.5
28,70.02,63
29,70.54,67.5
29,70.54,67.2
29,70.54,66.7
30,69.48,64
31,69.73,71
31,69.73,70
31,69.73,70
31,69.73,66
31,69.73,65
31,69.73,65
32,69.48,74
32,69.48,72
32,69.48,69
32,69.48,67.5
32,69.48,63.5
33,69.48,72
33,69.48,71.5
33,69.48,71.5
33,69.48,70
33,69.48,68
34,68.94,65.7
35,72.76,78
35,72.76,74
35,72.76,73
35,72.76,72
35,72.76,67
36,71.68,73.2
36,71.68,73
36,71.68,69
36,71.68,67
37,71.14,70
37,71.14,67
37,71.14,67
37,71.14,66.5
38,71.14,70
38,71.14,69
38,71.14,68.5
38,71.14,66
38,71.14,64.5
38,71.14,63
39,71.14,71
39,71.14,67
40,71.14,76
40,71.14,72
40,71.14,71
40,71.14,66
40,71.14,66
41,71.22,70.5
42,70.87,72
42,70.87,72
42,70.87,71
42,70.87,69
42,70.87,66
42,70.87,65
43,71.12,73
43,71.12,65.2
44,70.85,68.5
44,70.85,67.7
45,70.6,68
45,70.6,68
45,70.6,62
46,70.06,68
46,70.06,68
46,70.06,67.5
46,70.06,66.5
46,70.06,66.5
46,70.06,66
46,70.06,65.5
46,70.06,65
47,70.68,72
47,70.68,71
47,70.68,70.5
47,70.68,67
48,70.06,68
48,70.06,68
48,70.06,68
49,70.58,72
49,70.58,71
49,70.58,70
49,70.58,66
49,70.58,64.5
49,70.58,64.5
49,70.58,62
50,70.33,73
50,70.33,62
51,69.62,67.5
51,69.62,64.5
52,69.79,71
52,69.79,67
52,69.79,66
52,69.79,65
52,69.79,63.5
53,69.52,71
53,69.52,70
53,69.52,70
53,69.52,64
53,69.52,65
53,69.52,65
53,69.52,64
53,69.52,63
53,69.52,63
54,69.52,71
54,69.52,71
54,69.52,70
54,69.52,63.5
55,68.98,71
55,68.98,70
55,68.98,64.5
55,68.98,62.5
55,68.98,61.5
56,68.98,72
56,68.98,70.5
56,68.98,70.5
56,68.98,64.5
56,68.98,60
57,69.25,70
57,69.25,64
57,69.25,64
57,69.25,64
57,69.25,62.5
58,68.98,70.5
58,68.98,70
58,68.98,69
58,68.98,69
58,68.98,66
58,68.98,64.5
58,68.98,64
59,68.44,62
60,66.82,71.5
60,66.82,69
61,72.26,71
61,72.26,70
61,72.26,69
61,72.26,69
62,72.26,70
62,72.26,68.7
62,72.26,68
62,72.26,66
62,72.26,64
62,72.26,62
63,71.72,75
64,71.18,70
64,71.18,69
64,71.18,66
64,71.18,64
64,71.18,60
65,71.18,67.5
66,70.91,73
66,70.91,72
66,70.91,72
